19:12:00.713551 config: drop-rate=0.00, max-delay=0s, seed=1574467920713298000
20:15:01.920330 [queue=2] packet #16, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is dropped
20:15:01.935849 [queue=1] packet #18, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:15:01.936695 [queue=2] packet #18, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 83ms
20:15:02.003456 [queue=1] packet #15, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:02.021061 [queue=0] packet #18, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:06.720372 [queue=1] packet #9, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 53ms
20:15:06.720496 [queue=2] packet #16, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 80ms
20:15:06.720672 [queue=3] packet #17, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 42ms
20:15:06.767169 [queue=2] packet #17, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:15:06.768247 [queue=3] packet #17, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 41ms
20:15:06.774583 [queue=2] packet #9, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:15:06.776832 [queue=3] packet #9, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 26ms
20:15:06.804645 [queue=1] packet #9, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:06.804709 [queue=1] packet #16, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:15:06.806071 [queue=2] packet #16, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 63ms
20:15:06.810783 [queue=1] packet #17, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:06.874190 [queue=0] packet #16, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:06.876553 [queue=1] packet #19, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 38ms
20:15:06.876660 [queue=2] packet #20, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 45ms
20:15:06.876982 [queue=2] packet #21, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is dropped
20:15:06.877363 [queue=3] packet #22, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 35ms
20:15:06.877538 [queue=4] packet #23, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=2 is delayed for 92ms
20:15:06.877826 [queue=5] packet #24, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=0 is delayed for 42ms
20:15:06.912881 [queue=4] packet #22, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:15:06.914292 [queue=5] packet #22, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 98ms
20:15:06.914953 [queue=4] packet #19, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:15:06.916245 [queue=5] packet #19, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 45ms
20:15:06.920576 [queue=4] packet #24, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=0 is delivered
20:15:06.921350 [queue=5] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 37ms
20:15:06.922240 [queue=4] packet #20, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:15:06.923079 [queue=5] packet #20, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 73ms
20:15:06.961764 [queue=3] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:06.961864 [queue=3] packet #19, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:06.971896 [queue=2] packet #23, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=2 is delivered
20:15:06.973045 [queue=3] packet #23, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 59ms
20:15:07.001550 [queue=2] packet #20, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:07.013152 [queue=1] packet #22, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:07.036775 [queue=0] packet #23, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:11.754693 [queue=1] packet #21, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delayed for 58ms
20:15:11.817150 [queue=0] packet #21, 127.0.0.1:58769 -> 127.0.0.1:58294, sz=10 is delivered
20:15:11.819105 [queue=1] packet #21, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 23ms
20:15:11.819683 [queue=2] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 64ms
20:15:11.846578 [queue=1] packet #21, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:11.886365 [queue=0] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:13.825129 [queue=1] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 61ms
20:15:13.886466 [queue=0] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:15.829046 [queue=0] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is dropped
20:15:17.831729 [queue=1] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 26ms
20:15:17.861704 [queue=0] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:19.833763 [queue=0] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is dropped
20:15:21.837121 [queue=1] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delayed for 61ms
20:15:21.898854 [queue=0] packet #24, 127.0.0.1:58294 -> 127.0.0.1:58769, sz=0 is delivered
20:15:55.856344 [queue=1] packet #4294967287, 127.0.0.1:55059 -> 127.0.0.1:8007, sz=0 is delayed for 60ms
20:15:55.920111 [queue=0] packet #4294967287, 127.0.0.1:55059 -> 127.0.0.1:8007, sz=0 is delivered
20:15:55.921486 [queue=1] packet #4294967287, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 23ms
20:15:55.949073 [queue=0] packet #4294967287, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:15:55.950137 [queue=1] packet #4294967287, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=0 is delayed for 10ms
20:15:55.953400 [queue=2] packet #4294967288, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 42ms
20:15:55.953540 [queue=3] packet #4294967289, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 17ms
20:15:55.953801 [queue=4] packet #4294967290, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 22ms
20:15:55.954006 [queue=5] packet #4294967291, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 51ms
20:15:55.954187 [queue=6] packet #4294967292, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 65ms
20:15:55.954497 [queue=7] packet #4294967293, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 57ms
20:15:55.954727 [queue=8] packet #4294967294, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 1ms
20:15:55.955012 [queue=9] packet #4294967295, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 31ms
20:15:55.955205 [queue=10] packet #1, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 13ms
20:15:55.955402 [queue=11] packet #2, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delayed for 42ms
20:15:55.956199 [queue=10] packet #4294967294, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:15:55.956846 [queue=10] packet #4294967294, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is dropped
20:15:55.960788 [queue=9] packet #4294967287, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=0 is delivered
20:15:55.969375 [queue=8] packet #1, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:15:55.970450 [queue=9] packet #1, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 12ms
20:15:55.970880 [queue=8] packet #4294967289, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:15:55.971852 [queue=9] packet #4294967289, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 79ms
20:15:55.976654 [queue=8] packet #4294967290, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
20:15:55.977387 [queue=9] packet #4294967290, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delayed for 6ms
20:15:55.983208 [queue=8] packet #1, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:15:55.983727 [queue=7] packet #4294967290, 127.0.0.1:65440 -> 127.0.0.1:55059, sz=0 is delivered
20:15:55.986831 [queue=6] packet #4294967295, 127.0.0.1:55059 -> 127.0.0.1:65440, sz=10 is delivered
